Date/Time, Site, Station, Sensor, Value
2017-11-13 20:11:59,Hull Springs Farm,Dock,Pressure Transducer(corrected),42.28
2017-11-13 20:11:04,Hull Springs Farm,Dock,Pressure Transducer(corrected),43.38
2017-11-13 20:11:08,Hull Springs Farm,Dock,Pressure Transducer(corrected),43.9
2017-11-13 20:11:13,Hull Springs Farm,Dock,Pressure Transducer(corrected),44.28
2017-11-13 20:11:18,Hull Springs Farm,Dock,Pressure Transducer(corrected),45.04
2017-11-13 20:11:22,Hull Springs Farm,Dock,Pressure Transducer(corrected),45.98
2017-11-13 21:11:27,Hull Springs Farm,Dock,Pressure Transducer(corrected),46.56
2017-11-13 21:11:31,Hull Springs Farm,Dock,Pressure Transducer(corrected),46.68
2017-11-13 21:11:36,Hull Springs Farm,Dock,Pressure Transducer(corrected),46.8
2017-11-13 21:11:40,Hull Springs Farm,Dock,Pressure Transducer(corrected),47.56
2017-11-13 21:11:45,Hull Springs Farm,Dock,Pressure Transducer(corrected),48.14
2017-11-13 22:11:49,Hull Springs Farm,Dock,Pressure Transducer(corrected),47.93
2017-11-13 22:11:54,Hull Springs Farm,Dock,Pressure Transducer(corrected),47.45
2017-11-13 22:11:59,Hull Springs Farm,Dock,Pressure Transducer(corrected),47.94
2017-11-13 22:11:03,Hull Springs Farm,Dock,Pressure Transducer(corrected),48.32
2017-11-13 22:11:09,Hull Springs Farm,Dock,Pressure Transducer(corrected),48.08
2017-11-13 23:11:12,Hull Springs Farm,Dock,Pressure Transducer(corrected),47.82
2017-11-13 23:11:16,Hull Springs Farm,Dock,Pressure Transducer(corrected),47.45
2017-11-13 23:11:21,Hull Springs Farm,Dock,Pressure Transducer(corrected),47.37
2017-11-13 23:11:25,Hull Springs Farm,Dock,Pressure Transducer(corrected),47.05
2017-11-13 23:11:30,Hull Springs Farm,Dock,Pressure Transducer(corrected),46.32
2017-11-13 23:11:35,Hull Springs Farm,Dock,Pressure Transducer(corrected),45.63
2017-11-14 00:11:40,Hull Springs Farm,Dock,Pressure Transducer(corrected),45.19
2017-11-14 00:11:44,Hull Springs Farm,Dock,Pressure Transducer(corrected),44.54
2017-11-14 00:11:49,Hull Springs Farm,Dock,Pressure Transducer(corrected),43.79
2017-11-14 00:11:53,Hull Springs Farm,Dock,Pressure Transducer(corrected),42.9
2017-11-14 00:11:57,Hull Springs Farm,Dock,Pressure Transducer(corrected),42.15
2017-11-14 01:11:02,Hull Springs Farm,Dock,Pressure Transducer(corrected),41.51
2017-11-14 01:11:07,Hull Springs Farm,Dock,Pressure Transducer(corrected),41
2017-11-14 01:11:11,Hull Springs Farm,Dock,Pressure Transducer(corrected),39.78
2017-11-14 01:11:16,Hull Springs Farm,Dock,Pressure Transducer(corrected),38.93
